employee_id,name,age,department_id,job_id,salary,hire_date
1001,Employee_0,30,10,4,121426,2016-01-07
1002,Employee_1,25,6,4,92753,2015-10-29
1003,Employee_2,52,1,8,37561,2019-06-03
1004,Employee_3,57,10,7,74516,2020-01-30
1005,Employee_4,38,2,9,77576,2016-09-11
1006,Employee_5,34,6,9,64226,2017-01-04
1007,Employee_6,47,3,9,97337,2022-12-03
1008,Employee_7,47,9,6,146959,2022-08-23
1009,Employee_8,38,3,7,96585,2020-07-14
1010,Employee_9,27,10,2,138616,2019-07-19
1011,Employee_10,32,8,1,64729,2023-08-11
1012,Employee_11,47,6,2,44222,2017-04-25
1013,Employee_12,49,5,8,114770,2016-09-29
1014,Employee_13,51,1,7,119566,2022-03-17
1015,Employee_14,57,10,6,126481,2019-03-04
1016,Employee_15,58,8,4,82513,2023-05-27
1017,Employee_16,52,7,4,139188,2020-12-20
1018,Employee_17,56,6,10,80321,2016-02-22
1019,Employee_18,22,1,1,123518,2016-09-28
1020,Employee_19,41,10,4,148181,2019-04-26
1021,Employee_20,30,3,8,146458,2015-08-23
1022,Employee_21,41,1,9,95817,2019-05-05
1023,Employee_22,24,6,6,72796,2021-12-22
1024,Employee_23,33,1,3,71214,2023-10-27
1025,Employee_24,55,8,7,120341,2020-01-14
1026,Employee_25,38,6,4,53170,2018-11-03
1027,Employee_26,44,8,5,74980,2015-11-11
1028,Employee_27,43,8,4,78944,2017-06-02
1029,Employee_28,38,9,6,121211,2023-03-19
1030,Employee_29,40,6,3,46447,2020-02-09
1031,Employee_30,54,4,4,75779,2017-05-09
1032,Employee_31,55,6,5,89807,2017-11-19
1033,Employee_32,45,9,2,133000,2017-02-06
1034,Employee_33,52,1,9,43443,2021-10-10
1035,Employee_34,35,7,4,99500,2022-05-01
1036,Employee_35,48,9,8,144757,2023-05-09
1037,Employee_36,50,9,9,133134,2022-03-19
1038,Employee_37,41,10,2,120975,2018-12-07
1039,Employee_38,31,7,2,50288,2017-01-29
1040,Employee_39,51,5,6,54589,2022-06-21
1041,Employee_40,44,4,10,42550,2016-05-21
1042,Employee_41,23,1,8,35783,2019-06-09
1043,Employee_42,22,2,5,120466,2022-04-26
1044,Employee_43,35,5,10,107452,2015-07-12
1045,Employee_44,50,6,8,140128,2019-08-05
1046,Employee_45,35,8,2,107076,2017-01-16
1047,Employee_46,59,7,5,55805,2016-12-19
1048,Employee_47,24,3,9,132254,2018-11-09
1049,Employee_48,53,6,4,35724,2020-07-08
1050,Employee_49,37,5,7,75519,2016-09-09
1051,Employee_50,43,2,4,99190,2019-06-19
1052,Employee_51,52,7,1,131970,2023-06-28
1053,Employee_52,58,10,9,144930,2022-05-02
1054,Employee_53,34,6,8,105737,2015-02-16
1055,Employee_54,58,6,3,119820,2015-01-15
